subject,trial,fixnum,fixdur,leftval,rightval,rt,choice,roi,revfixnum
13,1,1,1036,1,2,3848,0,1,4
13,1,2,757,1,2,3848,0,2,3
13,1,3,997,1,2,3848,0,1,2
13,1,4,757,1,2,3848,0,2,1
13,2,1,1176,2,0,2885,1,1,3
13,2,2,697,2,0,2885,1,2,2
13,2,3,738,2,0,2885,1,1,1
13,3,1,1612,2,3,6540,1,1,5
13,3,2,1634,2,3,6540,1,2,4
13,3,3,1396,2,3,6540,1,1,3
13,3,4,518,2,3,6540,1,2,2
13,3,5,998,2,3,6540,1,1,1
13,4,1,857,1,0,2175,1,1,3
13,4,2,677,1,0,2175,1,2,2
13,4,3,379,1,0,2175,1,1,1
13,5,1,597,2,2,12619,0,1,8
13,5,2,3448,2,2,12619,0,2,7
13,5,3,2312,2,2,12619,0,1,6
13,5,4,876,2,2,12619,0,2,5
13,5,5,1056,2,2,12619,0,1,4
13,5,6,1116,2,2,12619,0,2,3
13,5,7,1575,2,2,12619,0,1,2
13,5,8,160,2,2,12619,0,2,1
13,6,1,597,4,1,4507,1,1,3
13,6,2,2571,4,1,4507,1,2,2
13,6,3,1016,4,1,4507,1,1,1
13,7,1,664,0,0,8347,0,1,6
13,7,2,2065,0,0,8347,0,2,5
13,7,3,1555,0,0,8347,0,1,4
13,7,4,1077,0,0,8347,0,2,3
13,7,5,458,0,0,8347,0,1,2
13,7,6,2213,0,0,8347,0,2,1
13,8,1,3368,1,3,4549,0,1,2
13,8,2,699,1,3,4549,0,2,1
13,9,1,716,3,2,3514,1,1,4
13,9,2,857,3,2,3514,1,2,3
13,9,3,518,3,2,3514,1,1,2
13,9,4,1095,3,2,3514,1,2,1
13,10,1,338,0,2,2127,0,1,2
13,10,2,1475,0,2,2127,0,2,1
13,11,1,717,1,4,2383,0,1,2
13,11,2,1395,1,4,2383,0,2,1
13,12,1,995,4,2,9526,1,1,5
13,12,2,3867,4,2,9526,1,2,4
13,12,3,1076,4,2,9526,1,1,3
13,12,4,3190,4,2,9526,1,2,2
13,12,5,140,4,2,9526,1,1,1
13,13,1,1253,1,3,2193,0,1,2
13,13,2,659,1,3,2193,0,2,1
13,14,1,3264,2,0,5808,1,1,3
13,14,2,901,2,0,5808,1,2,2
13,14,3,793,2,0,5808,1,1,1
13,15,1,996,3,0,4362,1,1,3
13,15,2,2730,3,0,4362,1,2,2
13,15,3,279,3,0,4362,1,1,1
13,16,1,2651,5,2,4429,1,1,2
13,16,2,1515,5,2,4429,1,2,1
13,17,1,658,2,3,1713,0,1,2
13,17,2,837,2,3,1713,0,2,1
13,18,1,1355,2,1,9120,0,1,6
13,18,2,2910,2,1,9120,0,2,5
13,18,3,1320,2,1,9120,0,1,4
13,18,4,1870,2,1,9120,0,2,3
13,18,5,1215,2,1,9120,0,1,2
13,18,6,159,2,1,9120,0,2,1
13,19,1,997,2,4,2621,0,1,2
13,19,2,1216,2,4,2621,0,2,1
13,20,1,712,2,0,3390,1,1,2
13,20,2,2352,2,0,3390,1,2,1
13,21,1,4065,5,0,7396,1,1,3
13,21,2,1476,5,0,7396,1,2,2
13,21,3,1536,5,0,7396,1,1,1
13,22,1,756,2,3,3426,0,1,4
13,22,2,817,2,3,3426,0,2,3
13,22,3,1076,2,3,3426,0,1,2
13,22,4,459,2,3,3426,0,2,1
13,23,1,597,3,2,10055,0,1,8
13,23,2,1236,3,2,10055,0,2,7
13,23,3,1573,3,2,10055,0,1,6
13,23,4,1295,3,2,10055,0,2,5
13,23,5,1654,3,2,10055,0,1,4
13,23,6,1216,3,2,10055,0,2,3
13,23,7,782,3,2,10055,0,1,2
13,23,8,1311,3,2,10055,0,2,1
13,24,1,1555,3,0,4690,1,1,2
13,24,2,2850,3,0,4690,1,2,1
13,25,1,557,4,3,5192,1,1,5
13,25,2,2432,4,3,5192,1,2,4
13,25,3,737,4,3,5192,1,1,3
13,25,4,299,4,3,5192,1,2,2
13,25,5,898,4,3,5192,1,1,1
13,26,1,1276,4,1,3098,1,1,2
13,26,2,1595,4,1,3098,1,2,1
13,27,1,199,1,3,3072,0,1,3
13,27,2,617,1,3,3072,0,2,2
13,27,3,1894,1,3,3072,0,1,1
13,28,1,2869,3,0,8430,1,1,4
13,28,2,1555,3,0,8430,1,2,3
13,28,3,1495,3,0,8430,1,1,2
13,28,4,2212,3,0,8430,1,2,1
13,29,1,736,1,5,2831,0,1,3
13,29,2,1237,1,5,2831,0,2,2
13,29,3,578,1,5,2831,0,1,1
13,30,1,1793,0,0,8306,0,1,2
13,30,2,6259,0,0,8306,0,2,1
13,31,1,566,3,1,4834,1,1,5
13,31,2,1287,3,1,4834,1,2,4
13,31,3,1436,3,1,4834,1,1,3
13,31,4,957,3,1,4834,1,2,2
13,31,5,300,3,1,4834,1,1,1
